frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
103,yolo_fasternet,1.589,41.537,0.266,43.64,6,0.8234,0.0,51.4
104,yolo_fasternet,1.867,50.552,0.25,52.971,6,0.8625,0.0,52.3
105,yolo_fasternet,1.557,39.996,0.251,42.046,6,0.8584,0.0,50.0
106,yolo_fasternet,1.8,55.049,0.307,57.469,6,0.8358,0.0,56.5
107,yolo_fasternet,1.962,55.658,0.263,58.178,5,0.8638,0.0,59.6
108,yolo_fasternet,1.588,39.663,0.249,41.765,5,0.8652,0.0,51.4
109,yolo_fasternet,2.057,39.838,0.276,42.472,7,0.6832,0.0,51.4
110,yolo_fasternet,1.698,39.785,0.273,42.005,6,0.799,0.0,50.0
111,yolo_fasternet,2.011,44.223,0.26,47.559,7,0.724,0.0,59.0
112,yolo_fasternet,2.046,41.36,0.25,43.988,6,0.7948,0.0,51.4
113,yolo_fasternet,1.589,41.868,0.252,43.968,7,0.6446,0.0,50.0
114,yolo_fasternet,1.574,39.801,0.253,41.882,7,0.7445,0.0,52.9
115,yolo_fasternet,1.593,39.842,0.251,41.936,7,0.6939,0.0,51.4
116,yolo_fasternet,1.598,39.788,0.25,41.894,5,0.6652,0.0,52.9
117,yolo_fasternet,2.079,40.017,0.257,42.664,4,0.754,0.0,51.4
118,yolo_fasternet,1.58,39.981,0.259,42.067,4,0.7759,0.0,51.4
119,yolo_fasternet,1.532,40.291,0.25,42.319,4,0.7995,0.0,51.4
120,yolo_fasternet,1.826,49.365,0.266,51.748,5,0.6847,0.0,51.2
121,yolo_fasternet,1.848,54.703,0.308,57.141,5,0.6975,0.0,51.1
122,yolo_fasternet,1.805,52.929,0.284,55.296,5,0.6694,0.0,51.1
123,yolo_fasternet,1.792,52.999,0.285,55.346,5,0.6086,0.0,52.3
124,yolo_fasternet,1.757,47.089,0.246,49.373,5,0.6549,0.0,51.2
125,yolo_fasternet,1.804,45.839,0.242,48.158,5,0.551,0.0,50.0
