frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
116,yolo26n,1.363,49.173,0.205,50.991,6,0.4796,0.0,51.2
117,yolo26n,1.331,49.852,0.218,51.624,7,0.4818,0.0,54.8
118,yolo26n,1.357,48.971,0.223,50.766,8,0.4423,0.0,48.8
119,yolo26n,1.378,49.734,0.209,51.534,6,0.4809,0.0,53.7
120,yolo26n,1.315,48.982,0.211,50.738,5,0.5853,0.0,51.2
121,yolo26n,1.701,49.51,0.2,51.675,5,0.6038,0.0,52.4
122,yolo26n,1.312,49.203,0.202,50.934,5,0.6469,0.0,51.2
123,yolo26n,1.679,48.755,0.228,50.936,5,0.6057,0.0,51.2
124,yolo26n,1.302,48.925,0.202,50.66,6,0.6232,0.0,51.2
125,yolo26n,1.346,48.608,0.219,50.382,5,0.6486,0.0,51.2
126,yolo26n,1.316,49.077,0.204,50.813,6,0.6209,0.0,52.4
127,yolo26n,1.338,48.77,0.204,50.522,5,0.675,0.0,52.4
128,yolo26n,1.322,48.996,0.214,50.768,7,0.554,0.0,50.0
129,yolo26n,1.736,50.499,0.207,52.717,7,0.541,0.0,53.5
130,yolo26n,1.313,48.931,0.269,50.754,7,0.5299,0.0,52.4
131,yolo26n,1.752,49.121,0.205,51.36,9,0.5134,0.0,52.4
132,yolo26n,1.303,50.479,0.221,52.239,10,0.5196,0.0,53.7
133,yolo26n,1.518,54.411,0.232,56.385,9,0.5495,0.0,52.2
134,yolo26n,1.424,49.383,0.229,51.272,9,0.5444,0.0,52.4
135,yolo26n,1.325,49.136,0.204,50.879,8,0.5912,0.0,53.7
136,yolo26n,1.335,49.073,0.216,50.839,8,0.5936,0.0,51.2
137,yolo26n,1.522,54.552,0.204,56.537,8,0.5834,0.0,51.1
138,yolo26n,1.379,48.145,0.214,49.961,8,0.5806,0.0,51.2
139,yolo26n,1.338,47.556,0.212,49.333,9,0.5312,0.0,52.4
140,yolo26n,1.343,48.134,0.206,49.914,10,0.5036,0.0,52.5
141,yolo26n,1.657,47.489,0.205,49.63,9,0.5804,0.0,50.0
142,yolo26n,1.363,50.824,0.214,52.616,9,0.5892,0.0,55.8
143,yolo26n,1.331,48.389,0.221,50.156,9,0.5783,0.0,50.0
144,yolo26n,1.318,47.756,0.201,49.493,9,0.5887,0.0,51.3
145,yolo26n,1.335,48.123,0.207,49.875,9,0.5933,0.0,52.4
146,yolo26n,1.321,47.692,0.211,49.453,10,0.6027,0.0,52.5
147,yolo26n,1.365,48.475,0.219,50.27,9,0.5971,0.0,51.2
148,yolo26n,1.327,48.353,0.203,50.135,9,0.5776,0.0,51.2
149,yolo26n,1.667,48.623,0.208,50.757,11,0.5136,0.0,52.4
150,yolo26n,1.362,49.008,0.201,50.791,12,0.5135,0.0,51.2
151,yolo26n,1.641,50.866,0.234,53.019,11,0.5442,0.0,53.5
152,yolo26n,1.387,49.047,0.214,50.922,10,0.5445,0.0,53.7
153,yolo26n,1.376,50.248,0.219,52.062,9,0.5657,0.0,52.4
154,yolo26n,1.33,49.993,0.204,51.739,9,0.5764,0.0,54.8
155,yolo26n,1.334,49.404,0.215,51.176,9,0.5795,0.0,53.7
156,yolo26n,1.329,48.317,0.219,50.08,10,0.53,0.0,52.4
157,yolo26n,1.688,48.953,0.202,51.107,9,0.5299,0.0,52.4
158,yolo26n,1.362,48.246,0.27,50.102,9,0.5362,0.0,50.0
159,yolo26n,1.44,58.893,0.273,60.839,7,0.6115,0.0,52.0
160,yolo26n,1.565,51.092,0.216,53.139,8,0.5802,0.0,51.2
161,yolo26n,1.703,49.394,0.211,51.592,9,0.5443,0.0,51.2
162,yolo26n,1.306,49.326,0.203,51.043,10,0.5107,0.0,53.5
163,yolo26n,1.66,48.679,0.204,50.8,10,0.4674,0.0,51.3
164,yolo26n,1.501,48.846,0.221,50.787,9,0.5347,0.0,52.4
165,yolo26n,1.364,48.789,0.214,50.582,10,0.5138,0.0,51.2
166,yolo26n,1.65,48.724,0.202,50.841,10,0.5289,0.0,52.4
167,yolo26n,1.406,48.881,0.208,50.755,10,0.4985,0.0,51.2
168,yolo26n,1.321,49.338,0.204,51.076,9,0.5596,0.0,52.4
169,yolo26n,1.687,49.211,0.203,51.357,10,0.5399,0.0,51.2
170,yolo26n,1.374,48.006,0.212,49.812,11,0.5074,0.0,52.4
171,yolo26n,1.686,53.809,0.22,55.977,9,0.5767,0.0,57.8
172,yolo26n,1.32,50.811,0.202,52.551,8,0.591,0.0,52.4
173,yolo26n,1.327,50.486,0.199,52.218,7,0.5992,0.0,55.8
174,yolo26n,1.555,55.626,0.203,57.642,9,0.5285,0.0,51.1
175,yolo26n,1.334,48.078,0.206,49.846,8,0.6223,0.0,51.3
176,yolo26n,1.661,47.63,0.209,49.767,7,0.6645,0.0,52.4
177,yolo26n,1.36,48.233,0.247,50.06,8,0.6096,0.0,52.5
178,yolo26n,1.355,47.78,0.201,49.56,7,0.6727,0.0,50.0
179,yolo26n,1.341,48.379,0.204,50.144,6,0.7148,0.0,51.2
180,yolo26n,1.324,49.381,0.208,51.156,6,0.7111,0.0,52.4
181,yolo26n,1.687,48.284,0.212,50.442,6,0.6637,0.0,52.5
182,yolo26n,1.321,49.145,0.229,50.912,5,0.7185,0.0,52.4
183,yolo26n,1.398,48.4,0.237,50.25,7,0.5859,0.0,51.2
184,yolo26n,1.714,48.024,0.212,50.24,8,0.5841,0.0,51.2
185,yolo26n,1.374,49.254,0.215,51.055,8,0.5649,0.0,53.7
186,yolo26n,1.303,48.45,0.205,50.194,8,0.5698,0.0,50.0
187,yolo26n,1.344,49.002,0.201,50.755,10,0.5375,0.0,52.4
188,yolo26n,1.39,48.203,0.202,50.084,8,0.6323,0.0,52.4
189,yolo26n,1.68,49.325,0.199,51.467,7,0.6872,0.0,53.7
190,yolo26n,1.367,51.397,0.359,53.371,8,0.6291,0.0,54.5
191,yolo26n,1.513,62.332,0.201,64.279,10,0.5735,0.0,65.4
192,yolo26n,1.641,48.9,0.21,51.017,9,0.5915,0.0,52.4
193,yolo26n,1.369,48.756,0.234,50.569,9,0.5799,0.0,52.5
194,yolo26n,1.379,48.983,0.226,50.809,11,0.5188,0.0,52.4
195,yolo26n,1.377,48.47,0.208,50.28,10,0.5323,0.0,50.0
196,yolo26n,1.329,49.075,0.207,50.832,9,0.5899,0.0,52.4
197,yolo26n,1.607,54.309,0.202,56.359,10,0.5507,0.0,51.1
198,yolo26n,1.372,48.822,0.203,50.613,10,0.5563,0.0,51.2
199,yolo26n,1.293,48.46,0.215,50.186,10,0.5592,0.0,51.2
200,yolo26n,1.739,48.256,0.204,50.483,11,0.538,0.0,51.2
201,yolo26n,1.672,51.782,0.206,53.914,12,0.51,0.0,54.5
202,yolo26n,1.306,50.81,0.232,52.578,12,0.4958,0.0,55.8
203,yolo26n,1.378,48.568,0.232,50.403,11,0.523,0.0,51.2
204,yolo26n,1.327,48.636,0.221,50.426,11,0.5038,0.0,51.2
205,yolo26n,1.608,55.581,0.204,57.639,9,0.5568,0.0,52.2
206,yolo26n,1.323,51.242,0.204,52.997,10,0.5185,0.0,54.5
207,yolo26n,1.339,49.653,0.218,51.458,11,0.5017,0.0,52.4
208,yolo26n,1.572,58.972,0.211,61.008,9,0.5515,0.0,51.0
209,yolo26n,1.365,52.52,0.243,54.366,10,0.5278,0.0,57.8
210,yolo26n,1.553,59.793,0.222,61.854,9,0.5604,0.0,54.9
211,yolo26n,1.52,53.922,0.205,55.888,9,0.5576,0.0,51.1
212,yolo26n,1.328,48.978,0.205,50.727,9,0.55,0.0,51.2
213,yolo26n,1.753,48.389,0.232,50.629,10,0.5208,0.0,51.2
214,yolo26n,1.355,50.538,0.225,52.34,9,0.5675,0.0,53.5
215,yolo26n,1.358,48.76,0.2,50.536,9,0.5613,0.0,51.2
216,yolo26n,1.513,54.218,0.205,56.201,9,0.5747,0.0,51.1
217,yolo26n,1.319,48.439,0.227,50.191,10,0.5524,0.0,51.2
218,yolo26n,1.32,50.882,0.227,52.645,10,0.5274,0.0,54.8
219,yolo26n,1.726,48.669,0.236,50.911,10,0.549,0.0,53.7
220,yolo26n,1.314,48.281,0.212,50.019,10,0.5586,0.0,51.2
221,yolo26n,1.594,54.079,0.204,56.124,11,0.535,0.0,51.1
222,yolo26n,1.309,48.266,0.208,50.005,10,0.5708,0.0,51.2
223,yolo26n,1.3,49.008,0.203,50.736,9,0.5932,0.0,51.2
